"filename", "language", "XMake", "C++", "JSON", "GLSL", "Ini", "comment", "blank", "total"
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_geometry_pass.frag", "GLSL", 0, 0, 0, 49, 0, 8, 14, 71
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_geometry_pass.vert", "GLSL", 0, 0, 0, 28, 0, 3, 8, 39
"d:\Adata\study\opengl\engine\resources\shaders\deferred\pbr_lighting_pass.frag", "GLSL", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.frag", "GLSL", 0, 0, 0, 197, 0, 39, 63, 299
"d:\Adata\study\opengl\engine\resources\shaders\forward\blinn_phong.vert", "GLSL", 0, 0, 0, 23, 0, 0, 6, 29
"d:\Adata\study\opengl\engine\resources\shaders\forward\pbr.frag", "GLSL", 0, 0, 0, 237, 0, 33, 72, 342
"d:\Adata\study\opengl\engine\resources\shaders\forward\pbr.vert", "GLSL", 0, 0, 0, 28, 0, 3, 8, 39
"d:\Adata\study\opengl\engine\resources\shaders\ibl\brdf_lut.frag", "GLSL", 0, 0, 0, 85, 0, 3, 24, 112
"d:\Adata\study\opengl\engine\resources\shaders\ibl\cubemap.vert", "GLSL", 0, 0, 0, 10, 0, 0, 4, 14
"d:\Adata\study\opengl\engine\resources\shaders\ibl\equirectangular_to_cubemap.frag", "GLSL", 0, 0, 0, 18, 0, 0, 5, 23
"d:\Adata\study\opengl\engine\resources\shaders\ibl\irradiance_convolution.frag", "GLSL", 0, 0, 0, 27, 0, 3, 9, 39
"d:\Adata\study\opengl\engine\resources\shaders\ibl\prefilter.frag", "GLSL", 0, 0, 0, 77, 0, 6, 23, 106
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_blur.frag", "GLSL", 0, 0, 0, 28, 0, 0, 2, 30
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\bloom_prefilter.frag", "GLSL", 0, 0, 0, 14, 0, 0, 2, 16
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\fxaa.frag", "GLSL", 0, 0, 0, 46, 0, 9, 13, 68
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post.frag", "GLSL", 0, 0, 0, 22, 0, 3, 6, 31
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\post_msaa.frag", "GLSL", 0, 0, 0, 16, 0, 0, 3, 19
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\quad.vert", "GLSL", 0, 0, 0, 9, 0, 0, 3, 12
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao.frag", "GLSL", 0, 0, 0, 38, 0, 8, 12, 58
"d:\Adata\study\opengl\engine\resources\shaders\postprocess\ssao_blur.frag", "GLSL", 0, 0, 0, 15, 0, 1, 4, 20
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.frag", "GLSL", 0, 0, 0, 7, 0, 0, 2, 9
"d:\Adata\study\opengl\engine\resources\shaders\utility\light.vert", "GLSL", 0, 0, 0, 9, 0, 0, 2, 11
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.frag", "GLSL", 0, 0, 0, 4, 0, 2, 1, 7
"d:\Adata\study\opengl\engine\resources\shaders\utility\shadow_depth.vert", "GLSL", 0, 0, 0, 12, 0, 0, 3, 15
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.frag", "GLSL", 0, 0, 0, 15, 0, 2, 6, 23
"d:\Adata\study\opengl\engine\resources\shaders\utility\skybox.vert", "GLSL", 0, 0, 0, 12, 0, 2, 3, 17
"d:\Adata\study\opengl\engine\src\core\Application.cpp", "C++", 0, 309, 0, 0, 0, 36, 58, 403
"d:\Adata\study\opengl\engine\src\core\Camera.cpp", "C++", 0, 81, 0, 0, 0, 1, 14, 96
"d:\Adata\study\opengl\engine\src\core\Framebuffer.cpp", "C++", 0, 179, 0, 0, 0, 7, 39, 225
"d:\Adata\study\opengl\engine\src\core\Geometry.cpp", "C++", 0, 519, 0, 0, 0, 85, 134, 738
"d:\Adata\study\opengl\engine\src\core\Light.cpp", "C++", 0, 365, 0, 0, 0, 76, 68, 509
"d:\Adata\study\opengl\engine\src\core\Material.cpp", "C++", 0, 94, 0, 0, 0, 3, 13, 110
"d:\Adata\study\opengl\engine\src\core\Mesh.cpp", "C++", 0, 49, 0, 0, 0, 7, 16, 72
"d:\Adata\study\opengl\engine\src\core\Model.cpp", "C++", 0, 237, 0, 0, 0, 17, 38, 292
"d:\Adata\study\opengl\engine\src\core\Renderer.cpp", "C++", 0, 2172, 0, 0, 0, 209, 323, 2704
"d:\Adata\study\opengl\engine\src\core\Shader.cpp", "C++", 0, 118, 0, 0, 0, 3, 26, 147
"d:\Adata\study\opengl\engine\src\core\Texture.cpp", "C++", 0, 163, 0, 0, 0, 3, 29, 195
"d:\Adata\study\opengl\engine\src\core\TextureManager.cpp", "C++", 0, 39, 0, 0, 0, 3, 11, 53
"d:\Adata\study\opengl\engine\src\main.cpp", "C++", 0, 8, 0, 0, 0, 1, 1, 10
"d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp", "C++", 0, 2541, 0, 0, 0, 245, 340, 3126
"d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp", "C++", 0, 48, 0, 0, 0, 4, 17, 69
"d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp", "C++", 0, 23, 0, 0, 0, 2, 5, 30
"d:\Adata\study\opengl\engine\src\utils\Logger.cpp", "C++", 0, 37, 0, 0, 0, 1, 6, 44
"d:\Adata\study\opengl\engine\xmake.lua", "XMake", 19, 0, 0, 0, 0, 70, 3, 92
"Total", "-", 19, 14122, 744, 1476, 65, 2375, 2694, 21495
