Date : 2025-08-07 17:08:33
Directory : d:\Adata\study\opengl\engine
Total : 68 files,  15472 codes, 2245 comments, 2546 blanks, all 20263 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Adata\study\opengl\engine\src\core\Geometry.cpp                                 | C++      |        519 |         85 |        134 |        738 |
| d:\Adata\study\opengl\engine\src\core\Light.cpp                                    | C++      |        365 |         76 |         68 |        509 |
| d:\Adata\study\opengl\engine\src\core\Material.cpp                                 | C++      |         94 |          3 |         13 |        110 |
| d:\Adata\study\opengl\engine\src\core\Mesh.cpp                                     | C++      |         49 |          7 |         16 |         72 |
| d:\Adata\study\opengl\engine\src\core\Model.cpp                                    | C++      |        237 |         17 |         38 |        292 |
| d:\Adata\study\opengl\engine\src\core\Renderer.cpp                                 | C++      |      2,145 |        205 |        300 |      2,650 |
| d:\Adata\study\opengl\engine\src\core\Shader.cpp                                   | C++      |        118 |          3 |         26 |        147 |
| d:\Adata\study\opengl\engine\src\core\Texture.cpp                                  | C++      |        134 |          2 |         23 |        159 |
| d:\Adata\study\opengl\engine\src\core\TextureManager.cpp                           | C++      |         39 |          3 |         11 |         53 |
| d:\Adata\study\opengl\engine\src\main.cpp                                          | C++      |          8 |          1 |          1 |         10 |
| d:\Adata\study\opengl\engine\src\ui\EditorUI.cpp                                   | C++      |      1,822 |        148 |        260 |      2,230 |
| d:\Adata\study\opengl\engine\src\utils\FileDialog.cpp                              | C++      |         48 |          4 |         17 |         69 |
| d:\Adata\study\opengl\engine\src\utils\FileSystem.cpp                              | C++      |         23 |          2 |          5 |         30 |
| d:\Adata\study\opengl\engine\src\utils\Logger.cpp                                  | C++      |         37 |          1 |          6 |         44 |
| d:\Adata\study\opengl\engine\xmake.lua                                             | XMake    |         18 |         70 |          3 |         91 |
| Total                                                                              |          |     15,472 |      2,245 |      2,546 |     20,263 |
+------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
